date,type,gare
2021-02-16,bagages,Paris Gare de Lyon
2021-02-16,vetements,Paris Gare de Lyon
2021-02-16,vetements,Paris Gare de Lyon
2021-02-16,clé,Paris Gare de Lyon
2021-02-16,bagages,Paris Gare de Lyon
2021-02-16,bagages,Paris Gare de Lyon
2021-02-16,bagages,Paris Gare de Lyon
2021-02-16,bagages,Paris Gare de Lyon
2021-02-16,bagages,Paris Gare de Lyon
2021-02-16,bagages,Paris Gare de Lyon
2021-02-16,optique,Paris Gare de Lyon
2021-02-17,clé,Paris Gare de Lyon
2021-02-17,clé,Paris Gare de Lyon
2021-02-17,papiers,Paris Gare de Lyon
2021-02-17,optique,Paris Gare de Lyon
2021-02-17,vetements,Paris Gare de Lyon
2021-02-17,bagages,Paris Gare de Lyon
2021-02-17,bagages,Paris Gare de Lyon
2021-02-17,bagages,Paris Gare de Lyon
2021-02-17,electronique,Paris Gare de Lyon
2021-02-17,electronique,Paris Gare de Lyon
2021-02-17,clé,Paris Gare de Lyon
2021-02-17,papiers,Paris Gare de Lyon
2021-02-17,papiers,Paris Gare de Lyon
2021-02-17,clé,Paris Gare de Lyon
2021-02-17,clé,Paris Gare de Lyon
2021-02-18,electronique,Paris Gare de Lyon
2021-02-18,bagages,Paris Gare de Lyon
2021-02-18,bagages,Paris Gare de Lyon
2021-02-18,bagages,Paris Gare de Lyon
2021-02-18,bagages,Paris Gare de Lyon
2021-02-18,bagages,Paris Gare de Lyon
2021-02-18,electronique,Paris Gare de Lyon
2021-02-18,electronique,Paris Gare de Lyon
2021-02-18,clé,Paris Gare de Lyon
2021-02-18,electronique,Paris Gare de Lyon
2021-02-18,clé,Paris Gare de Lyon
2021-02-19,bagages,Paris Gare de Lyon
2021-02-19,bagages,Paris Gare de Lyon
2021-02-19,electronique,Paris Gare de Lyon
2021-02-19,bagages,Paris Gare de Lyon
2021-02-19,bagages,Paris Gare de Lyon
2021-02-19,bagages,Paris Gare de Lyon
2021-02-20,bagages,Paris Gare de Lyon
2021-02-20,bagages,Paris Gare de Lyon
2021-02-20,bagages,Paris Gare de Lyon
2021-02-20,bagages,Paris Gare de Lyon
2021-02-21,vetements,Paris Gare de Lyon
2021-02-21,electronique,Paris Gare de Lyon
2021-02-21,electronique,Paris Gare de Lyon
2021-02-21,electronique,Paris Gare de Lyon
2021-02-21,clé,Paris Gare de Lyon
2021-02-21,sport/loisirs,Paris Gare de Lyon
2021-02-21,bagages,Paris Gare de Lyon
2021-02-21,bagages,Paris Gare de Lyon
2021-02-21,bagages,Paris Gare de Lyon
2021-02-21,bagages,Paris Gare de Lyon
2021-02-21,bagages,Paris Gare de Lyon
2021-02-21,bagages,Paris Gare de Lyon
2021-02-21,electronique,Paris Gare de Lyon
2021-02-21,bagages,Paris Gare de Lyon
2021-02-21,bagages,Paris Gare de Lyon
2021-02-21,bagages,Paris Gare de Lyon
2021-02-21,clé,Paris Gare de Lyon
2021-02-21,clé,Paris Gare de Lyon
2021-02-21,bagages,Paris Gare de Lyon
2021-02-21,papiers,Paris Gare de Lyon
2021-02-21,papiers,Paris Gare de Lyon
2021-02-21,clé,Paris Gare de Lyon
2021-02-21,livres,Paris Gare de Lyon
2021-02-21,livres,Paris Gare de Lyon
2021-02-21,papiers,Paris Gare de Lyon
2021-02-21,electronique,Paris Gare de Lyon
2021-02-21,vetements,Paris Gare de Lyon
2021-02-22,clé,Paris Gare de Lyon
2021-02-22,bagages,Paris Gare de Lyon
2021-02-23,clé,Paris Gare de Lyon
2021-02-23,vetements,Paris Gare de Lyon
2021-02-23,electronique,Paris Gare de Lyon
2021-02-23,electronique,Paris Gare de Lyon
2021-02-23,clé,Paris Gare de Lyon
2021-02-23,clé,Paris Gare de Lyon
2021-02-23,papiers,Paris Gare de Lyon
2021-02-23,papiers,Paris Gare de Lyon
2021-02-23,papiers,Paris Gare de Lyon
2021-02-23,papiers,Paris Gare de Lyon
2021-02-23,livres,Paris Gare de Lyon
2021-02-23,velo/trottinette,Paris Gare de Lyon
2021-02-23,bagages,Paris Gare de Lyon
2021-02-23,electronique,Paris Gare de Lyon
2021-02-23,clé,Paris Gare de Lyon
2021-02-24,papiers,Paris Gare de Lyon
2021-02-24,papiers,Paris Gare de Lyon
2021-02-24,papiers,Paris Gare de Lyon
2021-02-24,papiers,Paris Gare de Lyon
2021-02-24,clé,Paris Gare de Lyon
2021-02-24,papiers,Paris Gare de Lyon
2021-02-24,papiers,Paris Gare de Lyon
2021-02-24,papiers,Paris Gare de Lyon
2021-02-24,clé,Paris Gare de Lyon
2021-02-24,clé,Paris Gare de Lyon
2021-02-24,papiers,Paris Gare de Lyon
2021-02-24,clé,Paris Gare de Lyon
2021-02-24,clé,Paris Gare de Lyon
2021-02-24,clé,Paris Gare de Lyon
2021-02-24,sport/loisirs,Paris Gare de Lyon
2021-02-24,optique,Paris Gare de Lyon
2021-02-24,optique,Paris Gare de Lyon
2021-02-24,clé,Paris Gare de Lyon
2021-02-24,papiers,Paris Gare de Lyon
2021-02-24,clé,Paris Gare de Lyon
2021-02-24,clé,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,electronique,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,electronique,Paris Gare de Lyon
2021-02-24,electronique,Paris Gare de Lyon
2021-02-24,electronique,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,papiers,Paris Gare de Lyon
2021-02-24,clé,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,clé,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,clé,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,bagages,Paris Gare de Lyon
2021-02-24,vetements,Paris Gare de Lyon
2021-02-24,vetements,Paris Gare de Lyon
2021-02-24,electronique,Paris Gare de Lyon
2021-02-25,electronique,Paris Gare de Lyon
2021-02-25,clé,Paris Gare de Lyon
2021-02-25,bagages,Paris Gare de Lyon
2021-02-25,bagages,Paris Gare de Lyon
2021-02-25,bagages,Paris Gare de Lyon
2021-02-25,papiers,Paris Gare de Lyon
2021-02-25,clé,Paris Gare de Lyon
2021-02-25,electronique,Paris Gare de Lyon
2021-02-25,electronique,Paris Gare de Lyon
2021-02-25,bagages,Paris Gare de Lyon
2021-02-25,bagages,Paris Gare de Lyon
2021-02-26,clé,Paris Gare de Lyon
2021-02-26,parapluies,Paris Gare de Lyon
2021-02-26,optique,Paris Gare de Lyon
2021-02-26,optique,Paris Gare de Lyon
2021-02-26,vetements,Paris Gare de Lyon
2021-02-26,bagages,Paris Gare de Lyon
2021-02-26,electronique,Paris Gare de Lyon
2021-02-26,electronique,Paris Gare de Lyon
2021-02-26,vetements,Paris Gare de Lyon
2021-02-26,médical,Paris Gare de Lyon
2021-02-26,papiers,Paris Gare de Lyon
2021-02-26,livres,Paris Gare de Lyon
2021-02-26,bagages,Paris Gare de Lyon
2021-02-26,clé,Paris Gare de Lyon
2021-02-26,optique,Paris Gare de Lyon
2021-02-26,electronique,Paris Gare de Lyon
2021-02-26,optique,Paris Gare de Lyon
2021-02-26,electronique,Paris Gare de Lyon
2021-02-27,bagages,Paris Gare de Lyon
2021-02-27,bagages,Paris Gare de Lyon
2021-02-27,electronique,Paris Gare de Lyon
2021-02-27,electronique,Paris Gare de Lyon
2021-02-27,bagages,Paris Gare de Lyon
2021-02-27,papiers,Paris Gare de Lyon
2021-02-27,electronique,Paris Gare de Lyon
2021-02-27,livres,Paris Gare de Lyon
2021-02-27,papiers,Paris Gare de Lyon
2021-02-27,bagages,Paris Gare de Lyon
2021-02-27,articles enfants,Paris Gare de Lyon
2021-02-27,electronique,Paris Gare de Lyon
2021-02-27,electronique,Paris Gare de Lyon
2021-02-27,clé,Paris Gare de Lyon
2021-02-28,papiers,Paris Gare de Lyon
2021-02-28,clé,Paris Gare de Lyon
2021-03-01,electronique,Paris Gare de Lyon
2021-03-01,bagages,Paris Gare de Lyon
2021-03-01,bagages,Paris Gare de Lyon
2021-03-01,bagages,Paris Gare de Lyon
