"DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C"
"2021-08-09,21,15,18,15,21,19,0.3,75,10,1017,45.125,23,12,14,116,116,353,0,5,12.4,météo favorable,20:16:00,05:35:00,15"
"2021-08-10,24,17,12,17,23,23,0.5,81,9.875,1019,60.125,25,14,17,116,116,122,0,5,12.4,météo correcte,20:14:00,05:37:00,17"
"2021-08-11,29,19,3,19,27,29,0,78,10,1020,24.625,29,15,19,116,116,116,0,7,14.5,météo favorable,20:13:00,05:38:00,19"
"2021-08-12,32,22,7,22,29,31,0,70,10,1019,12.375,32,16,22,116,116,116,0,7,14.5,météo favorable,20:11:00,05:39:00,22"
"2021-08-13,31,21,10,21,27,31,0,67,10,1022,8.25,31,16,21,116,116,116,0,7,14.5,météo favorable,20:09:00,05:41:00,21"
"2021-08-14,33,19,6,19,28,31,0,66,10,1023,4,32,14,19,116,116,113,0,7,14.5,météo favorable,20:07:00,05:42:00,19"
"2021-08-15,33,21,6,21,30,31,0.1,68,9.875,1019,17.375,32,15,21,116,116,116,0,7,14.5,météo favorable,20:06:00,05:44:00,22"
"2021-08-16,25,17,16,17,23,24,0,73,10,1020,49.75,25,12,17,119,122,116,0,6,11.3,météo correcte,20:04:00,05:45:00,17"
"2021-08-17,19,15,13,15,19,18,0,78,10,1021,63.625,19,12,14,116,119,122,0,5,10.2,météo correcte,20:02:00,05:46:00,15"
"2021-08-18,22,17,13,17,21,21,0.3,83,10,1020,87.375,24,14,17,176,176,119,0,4,9.1,météo défavorable,20:00:00,05:48:00,17"
"2021-08-19,22,15,9,18,20,20,0,71,10,1017,75.375,23,12,18,122,119,122,0,4,9.9,météo défavorable,19:58:00,05:49:00,18"
"2021-08-20,28,17,5,17,26,26,0,67,10,1017,11.75,27,14,17,116,116,116,0,6,14.1,météo favorable,19:57:00,05:51:00,18"
"2021-08-21,30,19,13,19,28,28,1.3,68,10,1016,38.375,30,16,19,116,116,116,0,7,13.4,météo favorable,19:55:00,05:52:00,20"
"2021-08-22,23,18,18,18,23,22,0.3,81,10,1021,59,25,15,18,353,176,116,0,6,11.1,météo correcte,19:53:00,05:53:00,19"
"2021-08-23,22,16,12,16,19,22,0.9,85,9,1023,80.25,25,14,16,119,266,353,0,5,8.7,météo défavorable,19:51:00,05:55:00,17"
"2021-08-24,24,14,22,14,23,23,0,77,10,1024,16,24,12,13,116,116,116,0,6,13.9,météo favorable,19:49:00,05:56:00,15"
"2021-08-25,25,16,20,16,23,23,0,66,10,1023,8.875,25,11,16,113,116,116,0,5,13.9,météo favorable,19:47:00,05:58:00,17"
"2021-08-26,23,13,19,13,19,20,0,88,10,1020,26.875,24,13,12,116,116,113,0,5,13.3,météo favorable,19:45:00,05:59:00,14"
"2021-08-27,20,14,15,14,20,19,0,81,10,1022,65.25,20,11,13,119,116,116,0,4,12.1,météo défavorable,19:43:00,06:00:00,15"
"2021-08-28,20,12,18,13,16,19,0.1,77,10,1022,72.25,20,12,12,122,122,176,0,5,6.7,météo défavorable,19:41:00,06:02:00,12"
"2021-08-29,20,13,17,13,18,19,0,87,10,1022,73.25,20,12,12,122,119,116,0,5,7.9,météo défavorable,19:39:00,06:03:00,13"
"2021-08-30,22,14,15,14,18,21,0,86,10,1021,78.125,24,14,14,122,122,116,0,5,7.9,météo défavorable,19:37:00,06:05:00,14"
"2021-08-31,25,13,17,13,22,24,0,91,10,1024,32,25,12,12,119,116,116,0,5,11.6,météo favorable,19:35:00,06:06:00,14"
"2021-02-01,10,6,10,9,10,10,7.1,94,7.125,1004,94,10,8,8,296,266,122,0,2,3.5,météo défavorable,17:49:00,08:20:00,9"
"2021-02-02,14,7,22,9,13,13,6,92,8.75,1007,93.625,14,9,6,266,296,353,0,4,3.5,météo défavorable,17:50:00,08:19:00,7"
"2021-02-03,12,9,41,12,11,10,11.5,88,8.75,1009,93.875,12,10,7,353,296,176,0,3,3.5,météo défavorable,17:52:00,08:18:00,12"
"2021-02-04,10,6,11,7,9,9,0.3,89,9,1013,71.5,10,7,5,119,122,119,0,3,3.5,météo défavorable,17:54:00,08:16:00,7"
"2021-02-05,11,7,8,8,10,10,0.1,92,9,1013,83.625,11,8,6,116,122,116,0,2,3.5,météo défavorable,17:55:00,08:15:00,9"
"2021-02-06,10,8,17,8,10,10,10.2,86,9,1010,99,10,9,6,296,176,296,0,2,3.5,météo défavorable,17:57:00,08:13:00,8"
"2021-02-07,8,3,20,6,5,4,5.1,82,6.125,999,93,8,6,1,266,122,317,0.3,1,3.5,météo très défavorable,17:58:00,08:12:00,7"
"2021-02-08,2,0,9,0,2,1,0.4,75,9.5,1000,75,2,0,-1,326,116,122,0.3,1,6.6,météo très défavorable,18:00:00,08:10:00,0"
"2021-02-09,0,-3,11,-3,-1,0,0,76,10,1005,87.125,0,0,-7,122,119,122,0,1,5,météo très défavorable,18:02:00,08:08:00,-2"
"2021-02-10,-1,-7,22,-4,-2,-3,3.1,77,7,1020,43.875,0,0,-11,338,116,113,2.6,1,10,météo très défavorable,18:03:00,08:07:00,-3"
"2021-02-11,0,-4,18,-4,-1,-0,0,67,10,1026,8.875,0,0,-8,116,116,116,0,2,10,météo très défavorable,18:05:00,08:05:00,-3"
"2021-02-12,0,-2,26,-2,0,-1,0,40,10,1027,35.75,0,0,-8,116,122,116,0,2,10,météo très défavorable,18:07:00,08:04:00,-2"
"2021-02-13,1,-4,24,-4,-1,-0,0,39,10,1035,18.875,1,0,-10,113,116,116,0,2,10.1,météo très défavorable,18:08:00,08:02:00,-3"
"2021-02-14,1,-3,18,-3,-1,1,0,51,10,1035,41.125,1,0,-8,116,116,116,0,2,6.7,météo très défavorable,18:10:00,08:00:00,-2"
"2021-02-15,6,0,17,2,5,5,0.5,83,9.875,1029,54.875,6,4,-2,116,116,176,0,2,8.4,météo très défavorable,18:11:00,07:59:00,2"
"2021-02-16,9,3,22,4,7,9,0.1,87,9.625,1025,55.625,9,6,1,116,116,122,0,2,8.4,météo très défavorable,18:13:00,07:57:00,4"
"2021-02-17,10,7,18,7,9,10,0,94,10,1020,73.75,10,6,5,122,122,119,0,3,6.9,météo défavorable,18:15:00,07:55:00,7"
"2021-02-18,12,7,20,7,11,10,7.3,83,7.5,1015,83.875,12,7,5,122,266,296,0,3,5.3,météo défavorable,18:16:00,07:53:00,7"
"2021-02-19,12,5,15,5,10,11,0,90,10,1016,40.875,12,8,3,116,116,116,0,3,10.7,météo très défavorable,18:18:00,07:52:00,6"
"2021-02-20,16,9,21,9,13,15,0,83,10,1013,14.125,16,8,7,116,116,116,0,4,10.7,météo correcte,18:20:00,07:50:00,10"
"2021-02-21,15,9,14,9,13,15,0,68,10,1013,15.75,15,7,7,116,116,116,0,4,10.7,météo correcte,18:21:00,07:48:00,10"
"2021-02-22,13,10,18,10,13,13,0.4,62,9.375,1021,41.75,13,8,8,116,116,176,0,4,8.5,météo correcte,18:23:00,07:46:00,11"
"2021-02-23,15,10,20,10,13,14,0,80,10,1030,24.25,16,10,7,116,116,116,0,4,10.8,météo correcte,18:24:00,07:44:00,11"
"2021-02-24,19,11,15,11,15,19,0,91,10,1031,6.125,19,12,9,116,116,113,0,5,10.8,météo favorable,18:26:00,07:42:00,13"
"2021-02-25,16,11,11,11,14,15,0,76,10,1030,28.375,16,11,10,116,116,116,0,4,10.1,météo correcte,18:28:00,07:40:00,12"
"2021-02-26,11,2,16,9,9,6,2.2,82,9,1035,89,11,8,6,266,176,176,0,2,5.5,météo défavorable,18:29:00,07:38:00,10"
"2021-02-27,11,5,17,5,9,10,0,73,10,1038,3,11,2,3,116,116,116,0,3,10.9,météo très défavorable,18:31:00,07:37:00,7"
"2021-02-28,13,6,19,6,10,13,0,78,10,1036,0,13,5,3,113,113,113,0,3,11,météo correcte,18:32:00,07:35:00,7"
"2021-12-01,10,7,28,8,10,8,0.6,87,10,1013,90,10,6,4,176,353,176,0,2,3.1,météo défavorable,16:56:00,08:23:00,8"
"2021-12-02,6,3,15,5,6,4,0.8,78,9,1012,68.375,6,3,1,263,116,371,0.3,1,6.8,météo très défavorable,16:56:00,08:24:00,5"
"2021-12-03,4,2,22,2,4,3,0.5,79,9,1016,67,4,3,-2,116,116,266,0,2,6.8,météo très défavorable,16:55:00,08:25:00,2"
"2021-12-04,11,6,23,9,10,7,1.9,91,7.75,1007,92.5,11,10,5,266,122,176,0,2,3.1,météo défavorable,16:55:00,08:26:00,11"
"2021-12-05,6,4,15,4,6,6,0.8,90,7.875,1009,79.875,6,3,2,266,119,266,0,2,5,météo très défavorable,16:55:00,08:27:00,5"
"2021-12-06,6,5,18,5,6,5,1.1,84,8.875,1013,79.125,6,4,2,176,116,296,0,2,5,météo très défavorable,16:54:00,08:29:00,6"
"2021-12-07,6,3,19,4,6,6,0.8,84,8.875,1016,48.625,6,3,1,116,113,119,0,1,8.2,météo très défavorable,16:54:00,08:30:00,5"
"2021-12-08,7,4,17,4,6,5,0.6,95,9.875,999,59,7,3,0,317,116,122,0,2,8.2,météo très défavorable,16:54:00,08:31:00,4"
"2021-12-09,7,3,18,3,5,6,0.1,78,9.875,1005,59.875,7,2,-1,119,200,119,0,2,5,météo très défavorable,16:54:00,08:32:00,3"
"2021-12-10,8,5,24,7,8,7,1.7,81,7.875,1007,75.5,8,4,2,296,116,176,0,2,5,météo très défavorable,16:54:00,08:33:00,5"
"2021-12-11,8,4,12,4,6,7,0,81,10,1024,52.75,8,4,1,113,116,119,0,3,5,météo très défavorable,16:54:00,08:34:00,4"
"2021-12-12,12,6,13,6,9,10,0.3,96,8,1026,71,12,8,4,266,116,116,0,2,6.8,météo défavorable,16:54:00,08:35:00,6"
"2021-12-13,13,5,7,6,9,10,0,95,7,1027,15.25,13,8,4,143,113,113,0,2,8.2,météo correcte,16:54:00,08:36:00,6"
"2021-12-14,11,5,4,6,9,10,0,89,9,1029,13,11,7,5,113,113,113,0,2,8.2,météo très défavorable,16:54:00,08:36:00,6"
