date,type,gare,type_mapped
2021-03-08,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-03-09,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-03-09,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-03-09,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-03-09,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-03-09,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-03-10,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-03-10,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-03-10,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-03-10,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-03-10,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-03-10,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,velo/trottinette
2021-03-10,Articles médicaux,Paris Gare de Lyon,médical
2021-03-10,"Bijoux, montres",Paris Gare de Lyon,bijoux/montres
2021-03-10,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-03-11,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-03-11,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-03-11,"Bijoux, montres",Paris Gare de Lyon,bijoux/montres
2021-03-11,Articles médicaux,Paris Gare de Lyon,médical
2021-03-11,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,velo/trottinette
2021-03-11,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-03-11,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-03-12,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-03-12,Optique,Paris Gare de Lyon,optique
2021-03-12,Divers,Paris Gare de Lyon,divers
2021-03-12,"Articles de sport, loisirs, camping",Paris Gare de Lyon,sport/loisirs
2021-03-13,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-03-13,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,velo/trottinette
2021-03-13,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-03-14,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-03-14,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-03-14,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-03-15,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-03-15,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-03-15,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-03-16,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-03-16,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-03-16,Optique,Paris Gare de Lyon,optique
2021-03-16,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
