date,type,nom_gare,comptage_normalisé
2021-03-11,,Paris Gare de Lyon,0.04
2021-03-11,,Paris Gare de Lyon,0.04
2021-03-11,,Paris Gare de Lyon,0.04
2021-03-11,,Paris Gare de Lyon,0.04
2021-03-11,,Paris Gare de Lyon,0.04
2021-03-11,,Paris Gare de Lyon,0.04
2021-03-11,,Paris Gare de Lyon,0.04
2021-03-12,,Paris Gare de Lyon,0.04
2021-03-12,,Paris Gare de Lyon,0.04
2021-03-12,,Paris Gare de Lyon,0.04
2021-03-12,,Paris Gare de Lyon,0.04
2021-03-13,,Paris Gare de Lyon,0.04
2021-03-13,,Paris Gare de Lyon,0.04
2021-03-13,,Paris Gare de Lyon,0.04
2021-03-14,,Paris Gare de Lyon,0.04
2021-03-14,,Paris Gare de Lyon,0.04
2021-03-14,,Paris Gare de Lyon,0.04
2021-03-15,,Paris Gare de Lyon,0.04
2021-03-15,,Paris Gare de Lyon,0.04
2021-03-15,,Paris Gare de Lyon,0.04
2021-03-16,,Paris Gare de Lyon,0.04
2021-03-16,,Paris Gare de Lyon,0.04
2021-03-16,,Paris Gare de Lyon,0.04
2021-03-16,,Paris Gare de Lyon,0.04
2021-03-17,,Paris Gare de Lyon,0.04
2021-03-17,,Paris Gare de Lyon,0.04
2021-03-17,,Paris Gare de Lyon,0.04
2021-03-17,,Paris Gare de Lyon,0.04
2021-03-17,,Paris Gare de Lyon,0.04
2021-03-17,,Paris Gare de Lyon,0.04
2021-03-17,,Paris Gare de Lyon,0.04
2021-03-18,,Paris Gare de Lyon,0.04
2021-03-18,,Paris Gare de Lyon,0.04
2021-03-18,,Paris Gare de Lyon,0.04
2021-03-18,,Paris Gare de Lyon,0.04
2021-03-18,,Paris Gare de Lyon,0.04
2021-03-18,,Paris Gare de Lyon,0.04
2021-03-18,,Paris Gare de Lyon,0.04
2021-03-19,,Paris Gare de Lyon,0.04
2021-03-19,,Paris Gare de Lyon,0.04
2021-03-19,,Paris Gare de Lyon,0.04
2021-03-19,,Paris Gare de Lyon,0.04
2021-03-20,,Paris Gare de Lyon,0.04
2021-03-20,,Paris Gare de Lyon,0.04
2021-03-20,,Paris Gare de Lyon,0.04
2021-03-20,,Paris Gare de Lyon,0.04
2021-03-22,,Paris Gare de Lyon,0.04
2021-03-22,,Paris Gare de Lyon,0.04
2021-03-22,,Paris Gare de Lyon,0.04
2021-03-23,,Paris Gare de Lyon,0.04
2021-03-23,,Paris Gare de Lyon,0.04
2021-03-23,,Paris Gare de Lyon,0.04
2021-03-23,,Paris Gare de Lyon,0.04
2021-03-23,,Paris Gare de Lyon,0.04
2021-03-23,,Paris Gare de Lyon,0.04
2021-03-23,,Paris Gare de Lyon,0.04
2021-03-23,,Paris Gare de Lyon,0.04
2021-03-24,,Paris Gare de Lyon,0.04
2021-03-24,,Paris Gare de Lyon,0.04
2021-03-24,,Paris Gare de Lyon,0.04
2021-03-24,,Paris Gare de Lyon,0.04
2021-03-24,,Paris Gare de Lyon,0.04
2021-03-24,,Paris Gare de Lyon,0.04
2021-03-24,,Paris Gare de Lyon,0.04
2021-03-25,,Paris Gare de Lyon,0.04
2021-03-25,,Paris Gare de Lyon,0.04
2021-03-25,,Paris Gare de Lyon,0.04
2021-03-26,,Paris Gare de Lyon,0.04
2021-03-26,,Paris Gare de Lyon,0.04
2021-03-26,,Paris Gare de Lyon,0.04
2021-03-27,,Paris Gare de Lyon,0.04
2021-03-27,,Paris Gare de Lyon,0.04
2021-03-28,,Paris Gare de Lyon,0.04
2021-03-28,,Paris Gare de Lyon,0.04
2021-03-29,,Paris Gare de Lyon,0.04
2021-03-30,,Paris Gare de Lyon,0.04
2021-03-30,,Paris Gare de Lyon,0.04
2021-03-30,,Paris Gare de Lyon,0.04
2021-03-30,,Paris Gare de Lyon,0.04
2021-03-31,,Paris Gare de Lyon,0.04
2021-03-31,,Paris Gare de Lyon,0.04
2021-03-31,,Paris Gare de Lyon,0.04
2021-04-01,,Paris Gare de Lyon,0.04
2021-04-01,,Paris Gare de Lyon,0.04
2021-04-01,,Paris Gare de Lyon,0.04
2021-04-01,,Paris Gare de Lyon,0.04
2021-04-01,,Paris Gare de Lyon,0.04
2021-04-02,,Paris Gare de Lyon,0.04
2021-04-02,,Paris Gare de Lyon,0.04
2021-04-02,,Paris Gare de Lyon,0.04
2021-04-02,,Paris Gare de Lyon,0.04
2021-04-02,,Paris Gare de Lyon,0.04
2021-04-02,,Paris Gare de Lyon,0.04
2021-04-03,,Paris Gare de Lyon,0.04
2021-04-03,,Paris Gare de Lyon,0.04
2021-04-05,,Paris Gare de Lyon,0.04
2021-04-05,,Paris Gare de Lyon,0.04
2021-04-05,,Paris Gare de Lyon,0.04
2021-04-05,,Paris Gare de Lyon,0.04
2021-04-06,,Paris Gare de Lyon,0.04
2021-04-06,,Paris Gare de Lyon,0.04
2021-04-06,,Paris Gare de Lyon,0.04
2021-04-06,,Paris Gare de Lyon,0.04
2021-04-06,,Paris Gare de Lyon,0.04
2021-04-07,,Paris Gare de Lyon,0.04
2021-04-07,,Paris Gare de Lyon,0.04
2021-04-07,,Paris Gare de Lyon,0.04
2021-04-07,,Paris Gare de Lyon,0.04
2021-04-07,,Paris Gare de Lyon,0.04
2021-04-07,,Paris Gare de Lyon,0.04
2021-04-07,,Paris Gare de Lyon,0.04
2021-04-08,,Paris Gare de Lyon,0.04
2021-04-08,,Paris Gare de Lyon,0.04
2021-04-08,,Paris Gare de Lyon,0.04
2021-04-09,,Paris Gare de Lyon,0.04
2021-04-09,,Paris Gare de Lyon,0.04
2021-04-09,,Paris Gare de Lyon,0.04
2021-04-10,,Paris Gare de Lyon,0.04
2021-04-11,,Paris Gare de Lyon,0.04
2021-04-12,,Paris Gare de Lyon,0.04
2021-04-12,,Paris Gare de Lyon,0.04
2021-04-12,,Paris Gare de Lyon,0.04
2021-04-13,,Paris Gare de Lyon,0.04
2021-04-13,,Paris Gare de Lyon,0.04
2021-04-13,,Paris Gare de Lyon,0.04
2021-04-13,,Paris Gare de Lyon,0.04
2021-04-13,,Paris Gare de Lyon,0.04
2021-04-13,,Paris Gare de Lyon,0.04
2021-04-13,,Paris Gare de Lyon,0.04
2021-04-14,,Paris Gare de Lyon,0.04
2021-04-14,,Paris Gare de Lyon,0.04
2021-04-14,,Paris Gare de Lyon,0.04
2021-04-15,,Paris Gare de Lyon,0.04
2021-04-15,,Paris Gare de Lyon,0.04
2021-04-15,,Paris Gare de Lyon,0.04
2021-04-15,,Paris Gare de Lyon,0.04
2021-04-16,,Paris Gare de Lyon,0.04
2021-04-16,,Paris Gare de Lyon,0.04
2021-04-16,,Paris Gare de Lyon,0.04
2021-04-18,,Paris Gare de Lyon,0.04
2021-04-18,,Paris Gare de Lyon,0.04
2021-04-18,,Paris Gare de Lyon,0.04
2021-04-18,,Paris Gare de Lyon,0.04
2021-04-18,,Paris Gare de Lyon,0.04
2021-04-19,,Paris Gare de Lyon,0.04
2021-04-19,,Paris Gare de Lyon,0.04
2021-04-19,,Paris Gare de Lyon,0.04
2021-04-20,,Paris Gare de Lyon,0.04
2021-04-20,,Paris Gare de Lyon,0.04
2021-04-20,,Paris Gare de Lyon,0.04
2021-04-20,,Paris Gare de Lyon,0.04
2021-04-21,,Paris Gare de Lyon,0.04
2021-04-21,,Paris Gare de Lyon,0.04
2021-04-21,,Paris Gare de Lyon,0.04
2021-04-21,,Paris Gare de Lyon,0.04
2021-04-22,,Paris Gare de Lyon,0.04
2021-04-22,,Paris Gare de Lyon,0.04
2021-04-22,,Paris Gare de Lyon,0.04
2021-04-22,,Paris Gare de Lyon,0.04
2021-04-22,,Paris Gare de Lyon,0.04
2021-04-23,,Paris Gare de Lyon,0.04
2021-04-23,,Paris Gare de Lyon,0.04
2021-04-23,,Paris Gare de Lyon,0.04
2021-04-23,,Paris Gare de Lyon,0.04
2021-04-23,,Paris Gare de Lyon,0.04
2021-04-23,,Paris Gare de Lyon,0.04
2021-04-24,,Paris Gare de Lyon,0.04
2021-04-25,,Paris Gare de Lyon,0.04
2021-04-25,,Paris Gare de Lyon,0.04
2021-04-25,,Paris Gare de Lyon,0.04
2021-04-26,,Paris Gare de Lyon,0.04
2021-04-26,,Paris Gare de Lyon,0.04
2021-04-26,,Paris Gare de Lyon,0.04
2021-04-26,,Paris Gare de Lyon,0.04
2021-04-26,,Paris Gare de Lyon,0.04
2021-04-26,,Paris Gare de Lyon,0.04
2021-04-27,,Paris Gare de Lyon,0.04
2021-04-27,,Paris Gare de Lyon,0.04
2021-04-27,,Paris Gare de Lyon,0.04
2021-04-28,,Paris Gare de Lyon,0.04
2021-04-28,,Paris Gare de Lyon,0.04
2021-04-28,,Paris Gare de Lyon,0.04
2021-04-29,,Paris Gare de Lyon,0.04
2021-04-29,,Paris Gare de Lyon,0.04
2021-04-29,,Paris Gare de Lyon,0.04
2021-04-29,,Paris Gare de Lyon,0.04
2021-04-29,,Paris Gare de Lyon,0.04
2021-04-30,,Paris Gare de Lyon,0.04
2021-04-30,,Paris Gare de Lyon,0.04
2021-04-30,,Paris Gare de Lyon,0.04
2021-05-01,,Paris Gare de Lyon,0.04
2021-05-01,,Paris Gare de Lyon,0.04
2021-05-01,,Paris Gare de Lyon,0.04
2021-05-03,,Paris Gare de Lyon,0.04
2021-05-03,,Paris Gare de Lyon,0.04
2021-05-04,,Paris Gare de Lyon,0.04
2021-05-04,,Paris Gare de Lyon,0.04
2021-05-04,,Paris Gare de Lyon,0.04
2021-05-05,,Paris Gare de Lyon,0.04
2021-05-05,,Paris Gare de Lyon,0.04
2021-05-05,,Paris Gare de Lyon,0.04
2021-05-05,,Paris Gare de Lyon,0.04
2021-05-06,,Paris Gare de Lyon,0.04
2021-05-06,,Paris Gare de Lyon,0.04
2021-05-06,,Paris Gare de Lyon,0.04
2021-05-06,,Paris Gare de Lyon,0.04
2021-05-06,,Paris Gare de Lyon,0.04
2021-05-06,,Paris Gare de Lyon,0.04
2021-05-07,,Paris Gare de Lyon,0.04
2021-05-07,,Paris Gare de Lyon,0.04
2021-05-07,,Paris Gare de Lyon,0.04
2021-05-07,,Paris Gare de Lyon,0.04
2021-05-07,,Paris Gare de Lyon,0.04
2021-05-07,,Paris Gare de Lyon,0.04
2021-05-07,,Paris Gare de Lyon,0.04
2021-05-07,,Paris Gare de Lyon,0.04
2021-05-07,,Paris Gare de Lyon,0.04
2021-05-08,,Paris Gare de Lyon,0.04
2021-05-08,,Paris Gare de Lyon,0.04
2021-05-08,,Paris Gare de Lyon,0.04
2021-05-08,,Paris Gare de Lyon,0.04
2021-05-09,,Paris Gare de Lyon,0.04
2021-05-09,,Paris Gare de Lyon,0.04
2021-05-09,,Paris Gare de Lyon,0.04
2021-05-10,,Paris Gare de Lyon,0.04
2021-05-10,,Paris Gare de Lyon,0.04
2021-05-10,,Paris Gare de Lyon,0.04
2021-05-10,,Paris Gare de Lyon,0.04
2021-05-10,,Paris Gare de Lyon,0.04
2021-05-10,,Paris Gare de Lyon,0.04
2021-05-10,,Paris Gare de Lyon,0.04
2021-05-11,,Paris Gare de Lyon,0.04
2021-05-11,,Paris Gare de Lyon,0.04
2021-05-11,,Paris Gare de Lyon,0.04
2021-05-11,,Paris Gare de Lyon,0.04
2021-05-12,,Paris Gare de Lyon,0.04
